Reporting Area,MMWR Year,MMWR Week,"Spotted fever rickettsiosis, Confirmed, Current week","Spotted fever rickettsiosis, Confirmed, Current week, flag ","Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†","Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†, flag","Spotted fever rickettsiosis, Confirmed, Cum 2019†","Spotted fever rickettsiosis, Confirmed, Cum 2019†, flag","Spotted fever rickettsiosis, Confirmed, Cum 2018†","Spotted fever rickettsiosis, Confirmed, Cum 2018†, flag","Spotted fever rickettsiosis, Probable, Current week","Spotted fever rickettsiosis, Probable, Current week, flag","Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†","Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†, flag","Spotted fever rickettsiosis, Probable,  Cum 2019†","Spotted fever rickettsiosis, Probable,  Cum 2019†, flag","Spotted fever rickettsiosis, Probable,  Cum 2018†","Spotted fever rickettsiosis, Probable, Cum 2018†, flag","Smallpox, Current week","Smallpox, Current week, flag ","Smallpox, Previous 52 weeks Max†","Smallpox, Previous 52 weeks Max†, flag","Smallpox, Confirmed, Cum 2019†","Smallpox, Cum 2019†, flag","Smallpox, Cum 2018†","Smallpox, Cum 2018†, flag",Location 1,Location 2
WEST VIRGINIA,2019,6,,-,0,,,-,,-,1,,1,,1,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW ENGLAND,2019,6,,-,0,,,-,,-,,-,5,,3,,4,,,-,0,,,-,,-,,NEW ENGLAND
OHIO,2019,6,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
INDIANA,2019,6,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2019,6,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DELAWARE,2019,6,,-,0,,,-,,-,,-,6,,2,,2,,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WISCONSIN,2019,6,,-,1,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
CONNECTICUT,2019,6,,-,0,,,-,,-,,-,2,,2,,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WEST SOUTH CENTRAL,2019,6,,-,2,,,-,,-,3,,50,,17,,9,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
U.S. VIRGIN ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
EAST SOUTH CENTRAL,2019,6,,-,2,,,-,,-,1,,82,,19,,26,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
NEW HAMPSHIRE,2019,6,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
US RESIDENTS,2019,6,,-,11,,,-,1,,9,,263,,71,,75,,,-,0,,,-,,-,,US RESIDENTS
KENTUCKY,2019,6,,-,1,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2019,6,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
OKLAHOMA,2019,6,,-,2,,,-,,-,,-,19,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2019,6,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
IDAHO,2019,6,,-,1,,,-,,-,,-,1,,1,,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
HAWAII,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
PUERTO RICO,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2019,6,,-,1,,,-,,-,3,,28,,8,,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TOTAL,2019,6,,-,11,,,-,1,,9,,263,,71,,75,,,-,0,,,-,,-,,TOTAL
CALIFORNIA,2019,6,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
OREGON,2019,6,,-,1,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MISSOURI,2019,6,,-,3,,,-,,-,,-,46,,5,,2,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2019,6,,-,2,,,-,,-,,-,5,,2,,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2019,6,,-,3,,,-,,-,,-,3,,1,,2,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
SOUTH ATLANTIC,2019,6,,-,6,,,-,,-,4,,64,,14,,15,,,-,0,,,-,,-,,SOUTH ATLANTIC
GUAM,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
COLORADO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2019,6,,-,1,,,-,,-,,-,11,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MINNESOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
RHODE ISLAND,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
UTAH,2019,6,,-,1,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
SOUTH DAKOTA,2019,6,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2019,6,,-,1,,,-,,-,1,,8,,3,,1,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW JERSEY,2019,6,,-,1,,,-,,-,,-,9,,3,,6,,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MOUNTAIN,2019,6,,-,2,,,-,1,,,-,5,,1,,2,,,-,0,,,-,,-,,MOUNTAIN
MASSACHUSETTS,2019,6,,-,0,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
LOUISIANA,2019,6,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2019,6,,-,1,,,-,,-,,-,5,,1,,3,,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PACIFIC,2019,6,,-,1,,,-,,-,,-,3,,1,,,-,,-,0,,,-,,-,,PACIFIC
ILLINOIS,2019,6,,-,1,,,-,,-,,-,10,,1,,6,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2019,7,,-,1,,,-,,-,1,,28,,9,,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
HAWAII,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
PUERTO RICO,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2019,7,,-,3,,,-,,-,,-,3,,2,,2,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
RHODE ISLAND,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2019,7,,-,3,,,-,,-,,-,45,,5,,2,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2019,7,,-,1,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
SOUTH CAROLINA,2019,7,,-,1,,,-,,-,,-,5,,1,,4,,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
US TERRITORIES,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
KANSAS,2019,7,,-,2,,,-,,-,,-,16,,2,,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2019,7,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ARIZONA,2019,7,,-,2,,,-,1,,,-,3,,,-,1,,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2019,7,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEVADA,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2019,7,,-,2,,,-,,-,2,,37,,18,,17,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2019,7,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW YORK CITY,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
WEST SOUTH CENTRAL,2019,7,,-,2,,,-,,-,3,,50,,20,,11,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
NEW JERSEY,2019,7,,-,1,,,-,,-,,-,9,,3,,7,,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ALASKA,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
INDIANA,2019,7,,-,1,,,-,,-,,-,6,,,-,2,,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2019,7,,-,3,,,-,,-,,-,6,,1,,1,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
DISTRICT OF COLUMBIA,2019,7,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW MEXICO,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH ATLANTIC,2019,7,,-,6,,,-,1,,1,,64,,18,,19,,,-,0,,,-,,-,,SOUTH ATLANTIC
NEW YORK,2019,7,,-,1,,,-,,-,,-,8,,3,,1,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2019,7,,-,1,,,-,,-,,-,1,,1,,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
OHIO,2019,7,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NON-US RESIDENTS,2019,7,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
DELAWARE,2019,7,,-,0,,,-,,-,,-,6,,2,,2,,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WYOMING,2019,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PENNSYLVANIA,2019,7,,-,1,,,-,,-,,-,4,,2,,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
TENNESSEE,2019,7,,-,1,,,-,,-,,-,49,,3,,8,,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW ENGLAND,2019,7,,-,0,,,-,,-,,-,7,,3,,5,,,-,0,,,-,,-,,NEW ENGLAND
GUAM,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEBRASKA,2019,7,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MOUNTAIN,2019,7,,-,2,,,-,1,,,-,5,,1,,2,,,-,0,,,-,,-,,MOUNTAIN
LOUISIANA,2019,7,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
TOTAL,2019,7,,-,12,,,-,2,,6,,262,,80,,86,,,-,0,,,-,,-,,TOTAL
NEW HAMPSHIRE,2019,7,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2019,7,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2019,7,,-,0,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
UTAH,2019,7,,-,1,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WEST NORTH CENTRAL,2019,7,,-,4,,,-,,-,,-,56,,7,,2,,,-,0,,,-,,-,,WEST NORTH CENTRAL
MONTANA,2019,7,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
IOWA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ILLINOIS,2019,7,,-,1,,,-,,-,,-,10,,1,,6,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
CONNECTICUT,2019,7,,-,0,,,-,,-,,-,3,,2,,2,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2019,7,,-,1,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2019,7,,-,0,,,-,,-,3,,49,,19,,10,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2019,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2019,7,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
AMERICAN SAMOA,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA
U.S. VIRGIN ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
EAST SOUTH CENTRAL,2019,7,,-,2,,,-,,-,2,,82,,21,,27,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
OREGON,2019,7,,-,1,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
NORTH CAROLINA,2019,7,,-,2,,,-,1,,,-,28,,2,,10,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
PACIFIC,2019,7,,-,1,,,-,,-,,-,3,,1,,,-,,-,0,,,-,,-,,PACIFIC
MAINE,2019,7,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTHERN MARIANA ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2019,7,,-,2,,,-,,-,,-,19,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MIDDDLE ATLANTIC,2019,7,,-,1,,,-,,-,,-,13,,8,,8,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
VERMONT,2019,7,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2019,7,,-,0,,,-,,-,,-,1,,1,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSISSIPPI,2019,7,,-,1,,,-,,-,,-,11,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
EAST NORTH CENTRAL,2019,7,,-,2,,,-,,-,,-,24,,1,,12,,,-,0,,,-,,-,,EAST NORTH CENTRAL
US RESIDENTS,2019,7,,-,12,,,-,2,,6,,262,,80,,86,,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,8,,-,0,,,-,,-,,-,7,,3,,5,,,-,0,,,-,,-,,NEW ENGLAND
NORTHERN MARIANA ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2019,8,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH ATLANTIC,2019,8,,-,6,,,-,1,,2,,67,,24,,28,,,-,0,,,-,,-,,SOUTH ATLANTIC
NEW JERSEY,2019,8,,-,1,,,-,,-,,-,9,,4,,7,,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2019,8,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2019,8,,-,2,,,-,1,,,-,28,,3,,13,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2019,8,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2019,8,,-,1,,,-,,-,1,,31,,12,,2,,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
DELAWARE,2019,8,,-,0,,,-,,-,,-,6,,2,,2,,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2019,8,1,,1,,1,,,-,,-,12,,3,,1,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
DISTRICT OF COLUMBIA,2019,8,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PUERTO RICO,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEVADA,2019,8,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2019,8,,-,1,,,-,,-,,-,10,,1,,8,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MASSACHUSETTS,2019,8,,-,0,,,-,,-,,-,4,,,-,2,,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH DAKOTA,2019,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK CITY,2019,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
LOUISIANA,2019,8,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
INDIANA,2019,8,,-,1,,,-,,-,,-,6,,,-,2,,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
EAST NORTH CENTRAL,2019,8,,-,2,,,-,,-,,-,24,,1,,14,,,-,0,,,-,,-,,EAST NORTH CENTRAL
CONNECTICUT,2019,8,,-,0,,,-,,-,,-,3,,2,,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
EAST SOUTH CENTRAL,2019,8,,-,2,,,-,,-,1,,82,,23,,32,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST VIRGINIA,2019,8,,-,0,,,-,,-,,-,1,,1,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2019,8,,-,1,,,-,,-,,-,5,,1,,5,,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2019,8,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
PACIFIC,2019,8,,-,1,,,-,,-,,-,3,,1,,,-,,-,0,,,-,,-,,PACIFIC
AMERICAN SAMOA,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA
OKLAHOMA,2019,8,,-,2,,,-,,-,,-,19,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MICHIGAN,2019,8,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MISSOURI,2019,8,1,,3,,1,,,-,,-,46,,6,,2,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
KENTUCKY,2019,8,,-,1,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2019,8,,-,1,,,-,,-,,-,11,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PENNSYLVANIA,2019,8,,-,1,,,-,,-,,-,4,,2,,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2019,8,,-,3,,,-,,-,,-,3,,2,,5,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2019,8,,-,2,,,-,1,,,-,3,,,-,1,,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ALASKA,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
TENNESSEE,2019,8,,-,1,,,-,,-,1,,49,,4,,8,,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
TEXAS,2019,8,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
US RESIDENTS,2019,8,2,,11,,2,,2,,10,,260,,97,,105,,,-,0,,,-,,-,,US RESIDENTS
NEW MEXICO,2019,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2019,8,,-,0,,,-,,-,6,,49,,25,,12,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
MOUNTAIN,2019,8,,-,2,,,-,1,,1,,5,,2,,3,,,-,0,,,-,,-,,MOUNTAIN
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
RHODE ISLAND,2019,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WEST NORTH CENTRAL,2019,8,1,,3,,1,,,-,,-,57,,8,,2,,,-,0,,,-,,-,,WEST NORTH CENTRAL
KANSAS,2019,8,,-,2,,,-,,-,,-,16,,2,,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
UTAH,2019,8,,-,1,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WISCONSIN,2019,8,,-,1,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MINNESOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TOTAL,2019,8,2,,11,,2,,2,,10,,260,,97,,105,,,-,0,,,-,,-,,TOTAL
NEBRASKA,2019,8,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MIDDDLE ATLANTIC,2019,8,1,,1,,1,,,-,,-,13,,9,,8,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
U.S. VIRGIN ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WASHINGTON,2019,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
SOUTH DAKOTA,2019,8,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
FLORIDA,2019,8,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
GUAM,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2019,8,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MARYLAND,2019,8,,-,3,,,-,,-,1,,6,,3,,1,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2019,8,,-,1,,,-,,-,1,,1,,2,,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WYOMING,2019,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OHIO,2019,8,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
